"hr8","min","sec","dBA","Time"
14,24,0,62.2875675681546,"14:24:0"
14,24,0,62.5669020433099,"14:24:0"
14,24,0,62.5222299402103,"14:24:0"
14,24,0,62.5857206238952,"14:24:0"
14,24,0,62.3290768288552,"14:24:0"
14,24,0,62.5485683578177,"14:24:0"
14,24,0,62.7633185082627,"14:24:0"
14,24,0,62.5278765527205,"14:24:0"
14,24,0,62.2288540924686,"14:24:0"
14,24,0,62.5804968013046,"14:24:0"
14,24,0,62.5681611661754,"14:24:0"
14,24,0,62.4706263490117,"14:24:0"
14,24,0,62.1558972170448,"14:24:0"
14,24,0,62.5871558080349,"14:24:0"
14,24,0,62.3484013282194,"14:24:0"
14,24,0,62.4676918852396,"14:24:0"
14,24,0,62.4548599576899,"14:24:0"
14,24,0,62.2476345257477,"14:24:0"
14,24,0,62.2435064807946,"14:24:0"
14,24,0,62.1689176206402,"14:24:0"
14,24,0,62.0708195281114,"14:24:0"
14,24,0,62.4244668504218,"14:24:0"
14,24,0,62.4171357752429,"14:24:0"
14,24,0,62.5008416177884,"14:24:0"
14,24,0,62.2068340088439,"14:24:0"
14,24,0,62.4629108199516,"14:24:0"
14,24,0,62.6205993683265,"14:24:0"
14,24,0,62.2592515430511,"14:24:0"
14,24,0,62.5529649737064,"14:24:0"
14,24,0,62.1686103744775,"14:24:0"
14,24,0,62.1736567518541,"14:24:0"
14,24,0,62.6384587680622,"14:24:0"
14,24,0,62.217194065249,"14:24:0"
14,24,0,62.5589662586815,"14:24:0"
14,24,0,62.1825590796879,"14:24:0"
14,24,0,62.6382745442418,"14:24:0"
14,24,0,62.3358650915735,"14:24:0"
14,24,0,62.5393032457817,"14:24:0"
14,24,0,62.3338137165481,"14:24:0"
14,24,0,62.2108949087127,"14:24:0"
14,24,0,62.249809457101,"14:24:0"
14,25,0,62.5618010256723,"14:25:0"
14,25,0,62.2345815744096,"14:25:0"
14,25,0,62.7115490957432,"14:25:0"
14,25,0,62.3719599541083,"14:25:0"
14,25,0,62.4819092455442,"14:25:0"
14,25,0,62.4424617326452,"14:25:0"
14,25,0,62.447915994428,"14:25:0"
14,25,0,62.456215267803,"14:25:0"
14,25,0,62.5036700108921,"14:25:0"
14,25,0,62.1340228644081,"14:25:0"
14,25,0,62.282664276532,"14:25:0"
